city,model,price,insurance,fuel_type,seats,kms_driven,transmission,year_of_manufacture,engine,power,mileage,ownership
Chennai,Astor Savvy CVT BSVI,1730000.0,Expired,Petrol,5,25000,Automatic,2023.0,1498,108.49,14.82,First Owner
Coimbatore,Tiguan 2.0 TDI Comfortline,1789999.9999999998,Comprehensive,Diesel,5,106257,Automatic,2017.0,1968,141.0,16.65,First Owner
Chennai,Creta SX,1395000.0,Comprehensive,Petrol,5,27000,Manual,2022.0,1497,113.18,17.0,First Owner
Chennai,Alcazar Signature (O) Diesel AT BSVI,1850000.0,Expired,Diesel,6,20000,Automatic,2022.0,1493,113.98,18.1,First Owner
Chennai,e2o Plus P4,300000.0,Expired,Electric,4,40000,Automatic,2018.0,1197,25.4,19.12,Second Owner
Chennai,S-Class S 350 CDI,4000000.0,Expired,Diesel,5,60000,Automatic,2015.0,2987,254.79,19.12,Second Owner
Chennai,City i VTEC CVT SV,513999.99999999994,Comprehensive,Petrol,5,77259,Automatic,2014.0,1497,117.3,18.0,First Owner
Chennai,Elevate ZX CVT,1739999.9999999998,Expired,Petrol,5,10000,Automatic,2024.0,1498,119.0,16.92,First Owner
Chennai,KWID 1.0 RXT AMT BSVI,476000.0,Zero Dep,Petrol,5,23199,Automatic,2022.0,999,67.06,22.3,First Owner
Gurgaon,C-Class C 200 CGI Avantgarde,1190000.0,Expired,Petrol,5,75000,Automatic,2014.0,1796,186.0,19.12,First Owner
Chennai,Innova Hycross ZX(O) Hybrid,3700000.0,Comprehensive,Petrol,7,7000,Automatic,2023.0,1987,183.72,19.12,First Owner
Chennai,X3 xDrive 20d Luxury Line,2500000.0,Comprehensive,Diesel,5,112000,Automatic,2018.0,1995,187.7,19.12,First Owner
Chennai,Baleno Delta,650000.0,Expired,Petrol,5,50000,Manual,2020.0,1197,81.8,21.01,First Owner
Gurgaon,A6 35 TDI,890000.0,Expired,Diesel,5,65000,Automatic,2015.0,1968,187.74,18.53,First Owner
Chennai,City ZX MT,1550000.0,Expired,Petrol,5,20000,Manual,2023.0,1498,119.35,18.6,First Owner
Chennai,RediGO AMT 1.0 T Option,279000.0,Expired,Petrol,5,15910,Automatic,2018.0,999,67.0,22.5,Second Owner
Chennai,KWID 1.0 AMT RXT,450000.0,Expired,Petrol,5,20000,Automatic,2017.0,999,67.0,24.04,First Owner
Chennai,Ignis 1.2 Sigma BSIV,455000.0,Comprehensive,Petrol,5,34039,Manual,2018.0,1197,81.8,20.89,First Owner
Chennai,i20 1.2 Asta Option,580000.0,Expired,Petrol,5,40000,Manual,2018.0,1197,81.8,19.12,Third Owner
Chennai,GLE 350d,4950000.0,Expired,Diesel,5,70000,Automatic,2018.0,2987,254.79,19.12,Third Owner
Chennai,Alto 800 LXi BSIII,90000.0,Expired,Petrol,5,120000,Manual,2006.0,796,46.3,19.7,Fourth Owner
Chennai,Safari XT Plus BSVI,1670000.0,Comprehensive,Diesel,7,39000,Manual,2022.0,1956,167.67,16.14,First Owner
Chennai,i20 Sportz 1.2,400000.0,Expired,Petrol,5,50000,Manual,2013.0,1197,82.85,18.5,First Owner
Chennai,GLA 4MATIC,2150000.0,Comprehensive,Petrol,5,85000,Automatic,2017.0,1991,375.48,12.33,Second Owner
Chennai,Tiago 1.2 Revotron XZ,325000.0,Comprehensive,Petrol,5,108372,Manual,2016.0,1199,84.0,23.84,First Owner
Chennai,C3 Feel Dual Tone Turbo,750000.0,Expired,Petrol,5,30000,Manual,2023.0,1199,108.62,19.3,First Owner
Chennai,Hector Sharp Pro,2100000.0,Expired,Petrol,5,13489,Manual,2023.0,1197,81.8,19.12,First Owner
Chennai,Baleno Alpha,1050000.0,Expired,Petrol,5,10000,Manual,2024.0,1197,81.8,19.12,First Owner
Chennai,Innova Hycross ZX(O) Hybrid,3850000.0,Comprehensive,Petrol,7,19000,Automatic,2024.0,1987,183.72,19.12,First Owner
Chennai,Palio 1.2,180000.0,Expired,Petrol,5,90000,Manual,2002.0,1242,81.8,15.5,Fifth Owner
Chennai,Vento 1.6 Highline BSIV,950000.0,Expired,Petrol,5,30000,Manual,2019.0,1197,81.8,19.12,First Owner
Chennai,Celerio ZXI Optional,525000.0,Comprehensive,Petrol,5,26000,Manual,2020.0,998,67.05,21.63,First Owner
Chennai,Grand i10 Magna,445000.0,Comprehensive,Petrol,5,55824,Manual,2017.0,1197,82.0,18.9,First Owner
Chennai,Amaze S Petrol,409999.99999999994,Comprehensive,Petrol,5,96616,Manual,2015.0,1199,88.76,18.6,First Owner
Chennai,Polo Petrol Comfortline 1.2L,360000.0,Comprehensive,Petrol,5,71000,Manual,2012.0,1198,73.9,16.47,First Owner
Chennai,A4 35 TDI Premium,1150000.0,Comprehensive,Diesel,5,115000,Automatic,2015.0,1968,174.33,17.11,Second Owner
Chennai,Tiago NRG XZA AMT,750000.0,Expired,Petrol,5,10000,Automatic,2023.0,1199,84.82,20.09,First Owner
Chennai,Grand i10 1.2 Kappa Sportz Option,389000.0,Zero Dep,Petrol,5,88764,Manual,2017.0,1197,81.86,18.9,Second Owner
Chennai,i20 Asta Opt,770000.0,Comprehensive,Petrol,5,9000,Manual,2020.0,1197,81.8,21.0,First Owner
Chennai,Altroz XZ,780000.0,Expired,Petrol,5,20000,Manual,2023.0,1199,86.79,19.33,First Owner
Chennai,City SV,1175000.0,Expired,Petrol,5,30687,Manual,2020.0,1498,119.35,17.8,First Owner
Chennai,Zen 2 Door,130000.0,Expired,Petrol,5,100000,Manual,2002.0,993,81.8,17.3,Third Owner
Chennai,City i-VTEC V,859000.0,Expired,Petrol,5,70000,Manual,2019.0,1197,81.8,19.12,First Owner
Chennai,Grand i10 Asta Option AT,472000.0,Third Party,Petrol,5,15368,Automatic,2016.0,1197,82.0,18.9,First Owner
Chennai,Kiger RXZ,680000.0,Comprehensive,Petrol,5,34457,Manual,2021.0,999,71.01,19.17,First Owner
Chennai,XC 90 D5 Inscription,3600000.0,Comprehensive,Diesel,7,120000,Automatic,2016.0,1969,235.0,17.2,Second Owner
Chennai,Baleno 1.2 CVT Zeta,471000.0,Third Party,Petrol,5,74278,Automatic,2016.0,1197,83.1,21.4,Second Owner
Chennai,Endeavour 3.2 Titanium AT 4X4,3390000.0,Expired,Diesel,7,22000,Automatic,2019.0,1197,81.8,19.12,First Owner
Chennai,Q5 3.0 TDI Quattro,2500000.0,Expired,Diesel,5,160000,Automatic,2014.0,2967,241.4,19.12,First Owner
Chennai,GLA Class 200,2250000.0,Expired,Petrol,5,40000,Automatic,2017.0,1991,183.0,19.12,First Owner
Gurgaon,Q3 35 TDI Quattro Premium,1390000.0,Expired,Diesel,5,59000,Automatic,2016.0,1197,81.8,19.12,Second Owner
Chennai,GLE 300d BSVI,7000000.0,Comprehensive,Diesel,5,30000,Automatic,2020.0,1950,241.38,19.12,First Owner
Coimbatore,M-Class ML 250 CDI,2390000.0,Comprehensive,Diesel,5,64253,Automatic,2014.0,2143,203.2,19.12,First Owner
Chennai,i20 Sportz Plus BSIV,632000.0,Comprehensive,Petrol,5,75842,Manual,2019.0,1197,81.86,18.6,First Owner
Chennai,Baleno Alpha,780000.0,Expired,Petrol,5,20000,Manual,2022.0,1197,81.8,21.01,First Owner
Chennai,Figo 1.2P Titanium MT,409999.99999999994,Comprehensive,Petrol,5,88698,Manual,2016.0,1196,86.8,18.16,First Owner
Chennai,Rapid 1.5 TDI Ambition,550000.0,Expired,Diesel,5,70000,Manual,2014.0,1498,103.52,21.14,Second Owner
Chennai,3 Series 320d M Sport,2550000.0,Comprehensive,Diesel,5,25000,Automatic,2016.0,1995,190.0,19.12,First Owner
Chennai,Slavia 1.5 TSI Style AT,1590000.0,Comprehensive,Petrol,5,30000,Automatic,2022.0,1498,147.52,18.41,First Owner
Chennai,Brio 1.2 S MT,415000.00000000006,Comprehensive,Petrol,5,66295,Manual,2017.0,1198,86.8,18.5,First Owner
Chennai,i20 Asta Option BSIV,572000.0,Zero Dep,Petrol,5,91621,Manual,2019.0,1197,81.86,18.6,First Owner
Chennai,City i VTEC CVT SV,585000.0,Comprehensive,Petrol,5,80206,Automatic,2014.0,1497,117.3,18.0,First Owner
Chennai,Swift ZDi,480000.0,Comprehensive,Diesel,5,125876,Manual,2014.0,1248,74.0,22.9,First Owner
Chennai,i20 Sportz IVT,1090000.0,Comprehensive,Petrol,5,13000,Automatic,2023.0,1197,87.0,20.0,First Owner
Chennai,Compass Model S DCT BSVI,2089999.9999999998,Comprehensive,Petrol,5,28000,Automatic,2021.0,1368,160.77,14.1,First Owner
Chennai,Sail Hatchback Petrol LT ABS,100000.0,Expired,Petrol,5,60000,Manual,2013.0,1199,84.8,18.2,Fourth Owner
Chennai,Vento 1.2 TSI Comfortline AT,400000.0,Expired,Petrol,5,120000,Automatic,2015.0,1197,103.2,16.93,Second Owner
Chennai,Celerio ZXI Optional,355000.0,Expired,Petrol,5,30000,Manual,2015.0,998,67.04,23.1,First Owner
Chennai,Ertiga VXI AT BSVI,1120000.0,Expired,Petrol,7,20000,Automatic,2023.0,1462,101.65,20.3,First Owner
Chennai,Alto K10 VXI Plus,471000.0,Third Party,Petrol,5,16578,Manual,2023.0,998,65.71,24.39,First Owner
Chennai,GLC Coupe 300 4MATIC,6100000.0,Comprehensive,Petrol,5,33000,Automatic,2021.0,1991,254.79,19.12,First Owner
Chennai,KWID Climber 1.0 AMT Opt,429000.0,Comprehensive,Petrol,5,51427,Automatic,2021.0,999,67.0,22.0,First Owner
Chennai,Wagon R VXI Plus Optional,484999.99999999994,Comprehensive,Petrol,5,40000,Manual,2018.0,1197,81.8,19.12,First Owner
Chennai,Innova Crysta 2.4 Zx 7Str,2750000.0,Comprehensive,Diesel,7,15000,Manual,2023.0,2393,147.51,19.12,First Owner
Chennai,Alto K10 2010-2014 VXI,237000.0,Comprehensive,Petrol,5,67793,Manual,2013.0,998,67.1,20.92,Second Owner
Chennai,CLA 200 CGI Sport,1550000.0,Expired,Petrol,5,42000,Automatic,2015.0,1991,183.0,19.12,Third Owner
Chennai,X5 xDrive 30d,1350000.0,Comprehensive,Diesel,5,170000,Automatic,2011.0,2993,245.0,19.12,First Owner
Chennai,Creta 1.6 CRDi SX,1050000.0,Expired,Diesel,5,70000,Manual,2019.0,1582,126.2,19.67,First Owner
Chennai,Spark 1.0 LT,85000.0,Expired,Petrol,5,80000,Manual,2007.0,995,62.0,18.0,Fourth Owner
Chennai,Tiago XM,416000.0,Zero Dep,Petrol,5,36530,Manual,2019.0,1199,83.83,23.84,First Owner
Chennai,Q3 35 TDI Quattro Premium Plus,1800000.0,Expired,Diesel,5,120000,Automatic,2015.0,1968,174.33,19.12,First Owner
Gurgaon,Q7 Technology,7490000.000000001,Expired,Petrol,7,32500,Automatic,2023.0,2995,335.25,19.12,First Owner
Chennai,Baleno 1.2 Delta,500000.0,Expired,Petrol,5,100000,Manual,2016.0,1197,83.1,21.4,First Owner
Chennai,C-Class Progressive C 220d,3200000.0,Comprehensive,Diesel,5,20000,Automatic,2019.0,1950,194.0,19.12,Second Owner
Chennai,Creta 1.6 SX Automatic,1050000.0,Comprehensive,Petrol,5,47000,Automatic,2019.0,1197,81.8,19.12,Second Owner
Chennai,Amaze SX i VTEC,425000.0,Comprehensive,Petrol,5,60983,Manual,2014.0,1198,86.7,17.8,First Owner
Chennai,Baleno 1.2 CVT Delta,505999.99999999994,Comprehensive,Petrol,5,73369,Automatic,2018.0,1197,83.1,21.4,Second Owner
Chennai,Sonet GTX Plus Diesel BSVI,1095000.0,Zero Dep,Diesel,5,38470,Manual,2020.0,1493,98.63,19.12,First Owner
Chennai,Seltos HTX IVT G,1050000.0,Expired,Petrol,5,40000,Automatic,2020.0,1497,113.42,16.8,Second Owner
Chennai,Scala Diesel RxL,350000.0,Comprehensive,Diesel,5,110000,Manual,2013.0,1197,81.8,19.12,First Owner
Chennai,City i VTEC CVT VX,665000.0,Third Party,Petrol,5,98302,Automatic,2017.0,1497,117.3,18.0,First Owner
Chennai,Jazz 1.2 V i VTEC,484999.99999999994,Expired,Petrol,5,42742,Manual,2017.0,1197,81.8,19.12,First Owner
Chennai,Altroz XZA Plus Dark Edition DCT BSVI,722000.0,Third Party,Petrol,5,30258,Automatic,2022.0,1199,86.83,18.5,First Owner
Chennai,i20 1.4 Asta,675000.0,Comprehensive,Diesel,5,48000,Manual,2018.0,1396,88.73,22.54,First Owner
Chennai,Vitara Brezza ZXI AT,875000.0,Expired,Petrol,5,25330,Automatic,2020.0,1462,103.26,18.76,First Owner
Chennai,i20 Sportz Turbo iMT,697000.0,Comprehensive,Petrol,5,33636,Manual,2021.0,998,118.36,20.0,First Owner
Chennai,Swift VDI BSIV,624000.0,Comprehensive,Diesel,5,71852,Manual,2018.0,1197,81.8,19.12,First Owner
Chennai,Swift Dzire VXI,412000.0,Comprehensive,Petrol,5,98685,Manual,2015.0,1197,88.5,22.41,First Owner
Chennai,S60 D3,900000.0,Expired,Diesel,5,80000,Automatic,2012.0,1985,163.0,18.5,Second Owner
Coimbatore,5 Series 520d Luxury Line,4190000.0,Comprehensive,Diesel,5,64873,Automatic,2019.0,1995,187.74,19.12,First Owner
Chennai,Punch Adventure BSVI,700000.0,Expired,Petrol,5,40000,Manual,2022.0,1199,86.63,20.09,First Owner
Chennai,Figo 1.2P Titanium MT,400000.0,Expired,Petrol,5,30000,Manual,2017.0,1196,86.8,18.16,First Owner
Chennai,XUV300 W8 Option BSVI,1000000.0,Expired,Petrol,5,30000,Manual,2022.0,1197,108.62,16.82,First Owner
Chennai,Swift Dzire VXi AT,615000.0,Comprehensive,Petrol,5,69598,Automatic,2018.0,1197,83.14,18.5,First Owner
Chennai,Glanza G,725000.0,Comprehensive,Petrol,5,16000,Manual,2020.0,1197,81.8,21.01,First Owner
Chennai,Altroz XZ Diesel BSVI,589000.0,Comprehensive,Diesel,5,30351,Manual,2020.0,1497,88.77,23.64,First Owner
Chennai,Swift LXI,690000.0,Comprehensive,Petrol,5,12000,Manual,2024.0,1197,88.5,22.38,First Owner
Chennai,E-Class Exclusive E 220d,5450000.0,Comprehensive,Diesel,5,55000,Automatic,2021.0,1197,81.8,19.12,First Owner
Chennai,Hector Sharp Pro Diesel,2400000.0,Expired,Diesel,5,30707,Manual,2023.0,1956,167.67,15.58,First Owner
Chennai,Ecosport 1.5 Ti VCT MT Titanium,425000.0,Comprehensive,Petrol,5,81288,Manual,2014.0,1499,110.0,15.8,First Owner
Chennai,Vento Diesel Highline,420000.0,Expired,Diesel,5,70000,Manual,2014.0,1598,103.6,20.54,Second Owner
Chennai,Santro Sportz AMT BSIV,476999.99999999994,Comprehensive,Petrol,5,22583,Automatic,2019.0,1086,68.0,20.3,First Owner
Chennai,C-Class C 220d,5250000.0,Comprehensive,Diesel,5,2500,Automatic,2022.0,1993,197.13,19.12,First Owner
Chennai,Amaze S Petrol,475000.0,Comprehensive,Petrol,5,67924,Manual,2016.0,1199,88.76,18.6,First Owner
Chennai,Celerio ZXI Optional,434999.99999999994,Comprehensive,Petrol,5,20304,Manual,2017.0,1197,81.8,19.12,First Owner
Chennai,Aspire 1.5 Ti-VCT Titanium,490000.00000000006,Comprehensive,Petrol,5,48593,Automatic,2018.0,1197,81.8,19.12,First Owner
Chennai,Creta 1.6 CRDi SX,795000.0,Expired,Diesel,5,90000,Manual,2015.0,1582,126.2,19.67,First Owner
Chennai,Polo 1.0 MPI Comfortline,517000.0,Zero Dep,Petrol,5,93319,Manual,2018.0,999,75.1,17.74,First Owner
Coimbatore,ZS EV Exclusive,1889999.9999999998,Comprehensive,Electric,5,25713,Automatic,2023.0,1197,174.33,19.12,First Owner
Chennai,Alto 800 VXI,290000.0,Comprehensive,Petrol,5,38000,Manual,2016.0,1197,81.8,19.12,First Owner
Chennai,Baleno 1.2 CVT Alpha,574000.0,Zero Dep,Petrol,5,80799,Automatic,2018.0,1197,83.1,21.4,First Owner
Gurgaon,Q3 30 TDI Premium FWD,1490000.0,Expired,Diesel,5,31000,Automatic,2017.0,1968,147.51,19.12,Second Owner
Chennai,Amaze VX i-Vtech,454000.0,Expired,Petrol,5,39907,Manual,2015.0,1198,86.7,18.0,First Owner
Chennai,i20 Asta Option 1.2,610000.0,Comprehensive,Petrol,5,52292,Manual,2018.0,1197,81.83,18.6,First Owner
Chennai,V40 Cross Country D3,1250000.0,Expired,Diesel,5,70000,Automatic,2014.0,1984,150.0,23.3,First Owner
Chennai,Baleno Alpha,670000.0,Comprehensive,Petrol,5,63388,Manual,2019.0,1197,81.8,21.01,First Owner
Chennai,Cruze LTZ,750000.0,Expired,Diesel,5,120000,Manual,2017.0,1998,163.7,17.9,First Owner
Chennai,Carnival Premium,2700000.0,Comprehensive,Diesel,7,100000,Automatic,2021.0,2199,197.2,19.12,First Owner
Chennai,Kushaq 1.0 TSI Onyx 2023-2024,998000.0,Comprehensive,Petrol,5,29210,Manual,2023.0,999,113.98,18.09,First Owner
Chennai,i20 Asta IVT,860000.0,Comprehensive,Petrol,5,20000,Automatic,2021.0,1197,86.8,19.65,First Owner
Chennai,Compass Model S DCT BSVI,1900000.0,Expired,Petrol,5,70000,Automatic,2021.0,1368,160.77,14.1,First Owner
Chennai,XUV300 W6 Sunroof BSVI,791000.0,Third Party,Petrol,5,24612,Manual,2022.0,1197,108.6,17.0,First Owner
Chennai,Swift VXI BSVI,675000.0,Comprehensive,Petrol,5,5600,Manual,2022.0,1197,88.5,22.38,First Owner
Chennai,Micra XV CVT,269000.0,Expired,Petrol,5,90000,Automatic,2013.0,1198,76.0,19.34,First Owner
Chennai,C-Class Progressive C 200,3300000.0,Comprehensive,Petrol,5,41000,Automatic,2020.0,1950,201.15,19.12,First Owner
Chennai,Tucson 2.0 Dual VTVT 2WD MT,1390000.0,Expired,Petrol,5,20000,Manual,2017.0,1999,152.88,13.03,First Owner
Chennai,Magnite Turbo CVT XL BSVI,689000.0,Third Party,Petrol,5,31126,Automatic,2021.0,999,98.63,17.7,Second Owner
Chennai,Astor Sharp CVT BSVI,1475000.0,Comprehensive,Petrol,5,15000,Automatic,2023.0,1197,81.8,19.12,First Owner
Chennai,Ertiga VXI,483000.0,Expired,Petrol,7,77597,Manual,2012.0,1462,101.65,20.51,Second Owner
Chennai,Creta 1.6 E Plus,797000.0,Third Party,Petrol,5,43131,Manual,2019.0,1591,121.3,15.8,First Owner
Chennai,Taigun 1.0 TSI Topline AT BSVI,1225000.0,Zero Dep,Petrol,5,57176,Automatic,2022.0,999,113.98,18.41,First Owner
Chennai,Verna 1.6 VTVT S Option,529000.0,Comprehensive,Petrol,5,98460,Manual,2015.0,1591,121.4,17.01,First Owner
Chennai,Tiago XT Rhythm,590000.0,Expired,Petrol,5,10000,Manual,2023.0,1199,84.48,20.09,First Owner
Gurgaon,iX xDrive40,8590000.0,Expired,Electric,5,17300,Automatic,2022.0,1197,321.84,19.12,First Owner
Chennai,Tigor XZ BSVI,455000.0,Expired,Petrol,5,68000,Manual,2020.0,1199,84.82,19.28,Second Owner
Chennai,Kushaq 1.0 TSI Ambition AT BSVI,1060000.0,Expired,Petrol,5,30000,Automatic,2022.0,999,113.98,17.2,First Owner
Chennai,EON Era Plus,290000.0,Comprehensive,Petrol,5,28000,Manual,2015.0,814,55.2,21.1,First Owner
Chennai,Hector Sharp DCT,1400000.0,Comprehensive,Petrol,5,52000,Automatic,2019.0,1451,141.0,13.96,First Owner
Chennai,i10 Magna,290000.0,Comprehensive,Petrol,5,26107,Manual,2011.0,1197,78.9,20.36,First Owner
Chennai,S Cross Zeta DDiS 200 SH,745000.0,Expired,Diesel,5,101000,Manual,2018.0,1248,88.5,25.1,First Owner
Chennai,Swift ZXI Plus,581000.0,Comprehensive,Petrol,5,24985,Manual,2019.0,1197,81.8,19.12,Second Owner
Chennai,Q3 35 TDI Quattro Technology,1950000.0,Comprehensive,Diesel,5,55000,Automatic,2016.0,1968,181.0,19.12,First Owner
Chennai,S-Presso VXI 2019-2022,490000.00000000006,Comprehensive,Petrol,5,22800,Manual,2021.0,998,65.71,21.7,First Owner
Chennai,XUV500 W6 2WD,600000.0,Expired,Diesel,7,120000,Manual,2014.0,2179,140.0,15.1,Third Owner
Chennai,XUV500 W11 Option,1689999.9999999998,Comprehensive,Diesel,7,68000,Manual,2021.0,2179,152.87,15.1,First Owner
Chennai,Punch Adventure BSVI,600000.0,Expired,Petrol,5,20000,Manual,2021.0,1199,86.63,20.09,First Owner
Chennai,XUV500 W8 FWD,600000.0,Comprehensive,Diesel,7,98000,Manual,2012.0,2179,140.0,15.1,Second Owner
Chennai,Baleno 1.2 Zeta,560000.0,Expired,Petrol,5,75000,Manual,2017.0,1197,83.1,21.4,First Owner
Chennai,Amaze S Petrol,565000.0,Comprehensive,Petrol,5,44712,Manual,2019.0,1199,88.76,18.6,First Owner
Chennai,Verna 1.6 VTVT SX,525000.0,Expired,Petrol,5,80000,Manual,2016.0,1591,121.3,17.01,Second Owner
Chennai,Baleno 1.2 Zeta,484999.99999999994,Comprehensive,Petrol,5,70884,Manual,2016.0,1197,83.1,21.4,First Owner
Chennai,Aura SX Plus AMT,519000.00000000006,Comprehensive,Petrol,5,67319,Automatic,2020.0,1197,81.86,20.1,Second Owner
Chennai,Swift AMT ZXI,690000.0,Comprehensive,Petrol,5,40000,Automatic,2020.0,1197,81.8,21.21,First Owner
Chennai,Polo 1.5 TDI Highline,800000.0,Expired,Diesel,5,40000,Manual,2017.0,1498,88.0,20.14,First Owner
Chennai,Alto 800 LXI,390000.0,Comprehensive,Petrol,5,47000,Manual,2020.0,796,47.33,22.05,First Owner
Chennai,Slavia 1.0 TSI Style AT BSVI,1293000.0,Comprehensive,Petrol,5,19617,Automatic,2022.0,999,113.98,18.07,First Owner
Chennai,Nexon Creative Plus,1298000.0,Expired,Petrol,5,10000,Manual,2024.0,1199,118.27,17.44,First Owner
Chennai,Grand i10 1.2 Kappa Magna BSIV,420000.0,Zero Dep,Petrol,5,88265,Manual,2019.0,1197,81.86,18.9,First Owner
Chennai,Alto 800 LXI,250000.0,Expired,Petrol,5,40000,Manual,2014.0,796,47.3,22.74,First Owner
Chennai,i20 1.2 Sportz,200000.0,Expired,Petrol,5,80000,Manual,2011.0,1197,81.8,17.0,Third Owner
