,Unnamed: 0,Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
0,0,Maruti,1197.0,Petrol,Expired,66308,Mumbai,Baleno  Alpha,First Owner,545000.0,2016,5,Manual
1,1,Land Rover,2996.0,Petrol,Expired,28500,Mumbai,Defender  l 110 HSE,First Owner,12600000.0,2022,5,Automatic
2,2,Honda,1497.0,Petrol,Comprehensive,77000,Mumbai,City i VTEC CVT VX,First Owner,599000.0,2017,5,Automatic
3,3,Skoda,1984.0,Petrol,Expired,45000,Mumbai,Superb Laurin & klement,First Owner,2495000.0,2020,5,Automatic
4,4,Hyundai,1197.0,Petrol,Comprehensive,66000,Mumbai,i20 Active  S,Fourth Owner,425000.0,2017,5,Manual
5,5,Honda,1497.0,Petrol,Expired,76000,Mumbai,City i VTEC CVT VX,First Owner,575000.0,2015,5,Automatic
6,6,MG,1451.0,Electric,Expired,14477,Mumbai,Comet  Plush,First Owner,700000.0,2019,4,Automatic
7,7,MG,1451.0,Petrol,Comprehensive,30000,Mumbai,Hector Sharp DCT,First Owner,1200000.0,2019,5,Automatic
8,8,BMW,1995.0,Diesel,Comprehensive,39346,Thane,5 Series  Luxury Line,First Owner,4325000.0,2021,5,Automatic
9,9,Kia,1493.0,Diesel,Comprehensive,46000,Mumbai,Seltos GTX Plus  AT,First Owner,1735000.0000000002,2022,5,Automatic
10,10,Maruti,998.0,CNG,Expired,39757,Mumbai,S-Presso VXI Opt,First Owner,382000.0,2020,4,Manual
11,11,Hyundai,1197.0,Petrol,Expired,30713,Mumbai,i20  CVT Asta,Second Owner,541000.0,2018,5,Automatic
12,12,Jeep,1368.0,Petrol,Expired,69161,Mumbai,Compass  Limited Option,First Owner,1050000.0,2018,5,Automatic
13,13,Maruti,998.0,Petrol,Third Party,75871,Mumbai,Wagon R LXI BS IV,First Owner,227000.0,2013,5,Manual
14,14,Hyundai,1197.0,Petrol,Expired,26000,Mumbai,i20 Active  SX,First Owner,610000.0,2017,5,Manual
15,15,Maruti,1462.0,Petrol,Expired,44811,Thane,XL6 Zeta AT,First Owner,1095000.0,2021,6,Automatic
16,16,Mercedes Benz,2987.0,Diesel,Expired,77900,Mumbai,350 CDI Blue Efficiency,Second Owner,2800000.0,2014,7,Automatic
17,17,Hyundai,998.0,Petrol,Expired,17000,Mumbai,Venue SX Plus Turbo DCT,First Owner,975000.0,2019,5,Automatic
18,18,Hyundai,998.0,Petrol,Comprehensive,13284,Mumbai,i20 Asta Opt Turbo DCT,First Owner,1074000.0,2022,5,Automatic
19,19,Toyota,1496.0,Petrol,Expired,78200,Mumbai,Yaris G CVT,First Owner,660000.0,2018,5,Automatic
20,20,Kia,1497.0,Petrol,Zero Dep,13000,Mumbai,Seltos HTX IVT G,First Owner,1550000.0,2022,5,Automatic
21,21,Hyundai,1197.0,Petrol,Comprehensive,55000,Mumbai,Grand i10  Kappa Sportz,First Owner,495000.0,2018,5,Manual
22,22,Ford,1497.0,Petrol,Expired,56516,Thane,Ecosport   Titanium Plus AT,First Owner,785000.0,2019,5,Automatic
23,23,Hyundai,1197.0,Petrol,Expired,50554,Mumbai,Grand i10 AT Asta,First Owner,479000.0,2016,5,Automatic
24,24,Maruti,998.0,Petrol,Comprehensive,60491,Mumbai,Celerio VXI AMT,Second Owner,283000.0,2014,5,Automatic
25,25,MG,1451.0,Petrol,Zero Dep,26195,Mumbai,Hector Sharp DCT,Second Owner,1160000.0,2019,5,Automatic
26,26,Mahindra,2179.0,Diesel,Comprehensive,99776,Thane,Scorpio S11,First Owner,1295000.0,2018,7,Manual
27,27,Skoda,1968.0,Diesel,Comprehensive,65000,Mumbai,Superb Style  TDI AT,First Owner,1625000.0,2017,5,Automatic
28,28,Maruti,1197.0,Petrol,Comprehensive,18191,Thane,Swift Dzire ZXI,First Owner,705000.0,2021,5,Manual
29,29,Kia,1497.0,Diesel,Comprehensive,22293,Thane,Seltos HTX  iMT,First Owner,1495000.0,2022,5,Automatic
30,30,Honda,1199.0,Petrol,Expired,25110,Thane,Jazz V CVT,First Owner,665000.0,2018,5,Automatic
31,31,Hyundai,1197.0,Petrol,Comprehensive,16236,Mumbai,i10 Sportz,Second Owner,294000.0,2015,5,Manual
32,32,Audi,2967.0,Diesel,Third Party,40000,Mumbai,Q7 45 TDI Quattro Premium Plus,Second Owner,4450000.0,2017,7,Automatic
33,33,MG,1451.0,Petrol,Comprehensive,29000,Mumbai,Hector Plus Sharp DCT,First Owner,1748999.9999999998,2021,6,Automatic
34,34,Maruti,1197.0,Petrol,Expired,7500,Mumbai,Wagon R VXI AMT Opt,First Owner,599000.0,2021,5,Automatic
35,35,Mahindra,2696.0,Diesel,Expired,99000,Mumbai,Ssangyong Rexton RX7,First Owner,525000.0,2013,7,Automatic
36,36,Honda,1497.0,Petrol,Comprehensive,37000,Mumbai,City ZX CVT,First Owner,975000.0,2019,5,Automatic
37,37,Volkswagen,1197.0,Petrol,Comprehensive,22000,Mumbai,Polo GT TSI,First Owner,925000.0,2019,5,Automatic
38,38,Hyundai,1197.0,Petrol,Comprehensive,43544,Thane,Grand i10 Sportz,First Owner,368000.0,2014,5,Manual
39,39,Skoda,999.0,Petrol,Expired,8000,Mumbai,Kushaq  TSI Style AT,First Owner,1850000.0,2023,5,Automatic
40,40,Maruti,1197.0,Petrol,Zero Dep,14151,Mumbai,Swift ZXI Plus,First Owner,775000.0,2023,5,Manual
41,41,Honda,1497.0,Petrol,Expired,26000,Mumbai,City i VTEC CVT SV,First Owner,525000.0,2015,5,Automatic
42,42,Maruti,1197.0,Petrol,Comprehensive,58619,Mumbai,Swift VXI,First Owner,355000.0,2012,5,Manual
