Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
19,1197 cc,4,1,66308,10,247,1,545000.0,2016,5,1
15,2996 cc,4,1,28500,10,564,1,12600000.0,2022,5,0
9,1497 cc,4,0,77000,10,430,1,599000.0,2017,5,0
27,1984 cc,4,1,45000,10,1537,1,2495000.0,2020,5,0
10,1197 cc,4,0,66000,10,2080,2,425000.0,2017,5,1
9,1497 cc,4,1,76000,10,430,1,575000.0,2015,5,0
17,1451 cc,2,1,14477,10,466,1,700000.0,2019,4,0
17,1451 cc,4,0,30000,10,888,1,1200000.0,2019,5,0
1,1995 cc,1,0,39346,10,56,1,4325000.0,2021,5,0
14,1493 cc,1,0,46000,10,1467,1,1735000.0000000002,2022,5,0
19,998 cc,0,1,39757,10,1381,1,382000.0,2020,4,1
10,1197 cc,4,1,30713,10,2072,3,541000.0,2018,5,0
13,1368 cc,4,1,69161,10,474,1,1050000.0,2018,5,0
19,998 cc,4,2,75871,10,1872,1,227000.0,2013,5,1
10,1197 cc,4,1,26000,10,2081,1,610000.0,2017,5,1
19,1462 cc,4,1,44811,10,1964,1,1095000.0,2021,6,0
21,2987 cc,1,1,77900,10,43,3,2800000.0,2014,7,0
10,998 cc,4,1,17000,10,1777,1,975000.0,2019,5,0
10,998 cc,4,0,13284,10,2093,1,1074000.0,2022,5,0
29,1496 cc,4,1,78200,10,2035,1,660000.0,2018,5,0
14,1497 cc,4,3,13000,10,1483,1,1550000.0,2022,5,0
10,1197 cc,4,0,55000,10,826,1,495000.0,2018,5,1
8,1497 cc,4,1,56516,10,640,1,785000.0,2019,5,0
19,998 cc,4,0,60491,10,348,3,283000.0,2014,5,0
17,1451 cc,4,3,26195,10,888,3,1160000.0,2019,5,0
18,2179 cc,1,0,99776,10,1457,1,1295000.0,2018,7,1
27,1968 cc,1,0,65000,10,1539,1,1625000.0,2017,5,0
19,1197 cc,4,0,18191,10,1584,1,705000.0,2021,5,1
14,1497 cc,1,0,22293,10,1480,1,1495000.0,2022,5,0
9,1199 cc,4,1,25110,10,992,1,665000.0,2018,5,0
10,1197 cc,4,0,16236,10,2061,3,294000.0,2015,5,1
0,2967 cc,1,2,40000,10,1268,3,4450000.0,2017,7,0
