brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
Maruti,1197.0,Petrol,Expired,66308,Mumbai,Baleno  Alpha,First Owner,545000.0,2016,5,Manual
Land Rover,2996.0,Petrol,Expired,28500,Mumbai,Defender  l 110 HSE,First Owner,12600000.0,2022,5,Automatic
Honda,1497.0,Petrol,Comprehensive,77000,Mumbai,City i VTEC CVT VX,First Owner,599000.0,2017,5,Automatic
Skoda,1984.0,Petrol,Expired,45000,Mumbai,Superb Laurin & klement,First Owner,2495000.0,2020,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,66000,Mumbai,i20 Active  S,Fourth Owner,425000.0,2017,5,Manual
Honda,1497.0,Petrol,Expired,76000,Mumbai,City i VTEC CVT VX,First Owner,575000.0,2015,5,Automatic
MG,1451.0,Electric,Expired,14477,Mumbai,Comet  Plush,First Owner,700000.0,2019,4,Automatic
MG,1451.0,Petrol,Comprehensive,30000,Mumbai,Hector Sharp DCT,First Owner,1200000.0,2019,5,Automatic
BMW,1995.0,Diesel,Comprehensive,39346,Mumbai,5 Series  Luxury Line,First Owner,4325000.0,2021,5,Automatic
Kia,1493.0,Diesel,Comprehensive,46000,Mumbai,Seltos GTX Plus  AT,First Owner,1735000.0000000002,2022,5,Automatic
Maruti,998.0,CNG,Expired,39757,Mumbai,S-Presso VXI Opt,First Owner,382000.0,2020,4,Manual
Hyundai,1197.0,Petrol,Expired,30713,Mumbai,i20  CVT Asta,Second Owner,541000.0,2018,5,Automatic
Jeep,1368.0,Petrol,Expired,69161,Mumbai,Compass  Limited Option,First Owner,1050000.0,2018,5,Automatic
Maruti,998.0,Petrol,Third Party,75871,Mumbai,Wagon R LXI BS IV,First Owner,227000.0,2013,5,Manual
Hyundai,1197.0,Petrol,Expired,26000,Mumbai,i20 Active  SX,First Owner,610000.0,2017,5,Manual
Maruti,1462.0,Petrol,Expired,44811,Mumbai,XL6 Zeta AT,First Owner,1095000.0,2021,6,Automatic
Mercedes Benz,2987.0,Diesel,Expired,77900,Mumbai,350 CDI Blue Efficiency,Second Owner,2800000.0,2014,7,Automatic
Hyundai,998.0,Petrol,Expired,17000,Mumbai,Venue SX Plus Turbo DCT,First Owner,975000.0,2019,5,Automatic
Hyundai,998.0,Petrol,Comprehensive,13284,Mumbai,i20 Asta Opt Turbo DCT,First Owner,1074000.0,2022,5,Automatic
Toyota,1496.0,Petrol,Expired,78200,Mumbai,Yaris G CVT,First Owner,660000.0,2018,5,Automatic
Kia,1497.0,Petrol,Zero Dep,13000,Mumbai,Seltos HTX IVT G,First Owner,1550000.0,2022,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,55000,Mumbai,Grand i10  Kappa Sportz,First Owner,495000.0,2018,5,Manual
Ford,1497.0,Petrol,Expired,56516,Mumbai,Ecosport   Titanium Plus AT,First Owner,785000.0,2019,5,Automatic
Maruti,998.0,Petrol,Comprehensive,60491,Mumbai,Celerio VXI AMT,Second Owner,283000.0,2014,5,Automatic
MG,1451.0,Petrol,Zero Dep,26195,Mumbai,Hector Sharp DCT,Second Owner,1160000.0,2019,5,Automatic
Mahindra,2179.0,Diesel,Comprehensive,99776,Mumbai,Scorpio S11,First Owner,1295000.0,2018,7,Manual
Skoda,1968.0,Diesel,Comprehensive,65000,Mumbai,Superb Style  TDI AT,First Owner,1625000.0,2017,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,18191,Mumbai,Swift Dzire ZXI,First Owner,705000.0,2021,5,Manual
Kia,1497.0,Diesel,Comprehensive,22293,Mumbai,Seltos HTX  iMT,First Owner,1495000.0,2022,5,Automatic
Honda,1199.0,Petrol,Expired,25110,Mumbai,Jazz V CVT,First Owner,665000.0,2018,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,16236,Mumbai,i10 Sportz,Second Owner,294000.0,2015,5,Manual
Audi,2967.0,Diesel,Third Party,40000,Mumbai,Q7 45 TDI Quattro Premium Plus,Second Owner,4450000.0,2017,7,Automatic
MG,1451.0,Petrol,Comprehensive,29000,Mumbai,Hector Plus Sharp DCT,First Owner,1748999.9999999998,2021,6,Automatic
Maruti,1197.0,Petrol,Expired,7500,Mumbai,Wagon R VXI AMT Opt,First Owner,599000.0,2021,5,Automatic
Mahindra,2696.0,Diesel,Expired,99000,Mumbai,Ssangyong Rexton RX7,First Owner,525000.0,2013,7,Automatic
Volkswagen,1197.0,Petrol,Comprehensive,22000,Mumbai,Polo GT TSI,First Owner,925000.0,2019,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,43544,Mumbai,Grand i10 Sportz,First Owner,368000.0,2014,5,Manual
Skoda,999.0,Petrol,Expired,8000,Mumbai,Kushaq  TSI Style AT,First Owner,1850000.0,2023,5,Automatic
Maruti,1197.0,Petrol,Zero Dep,14151,Mumbai,Swift ZXI Plus,First Owner,775000.0,2023,5,Manual
Honda,1497.0,Petrol,Expired,26000,Mumbai,City i VTEC CVT SV,First Owner,525000.0,2015,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,58619,Mumbai,Swift VXI,First Owner,355000.0,2012,5,Manual
Tata,1497.0,Diesel,Comprehensive,28887,Mumbai,Altroz XZ Plus,First Owner,795000.0,2023,5,Manual
Hyundai,1197.0,Petrol,Comprehensive,47832,Mumbai,Grand i10 Asta,First Owner,362000.0,2015,5,Manual
Maruti,1197.0,Petrol,Zero Dep,36553,Mumbai,Baleno  Delta,First Owner,525000.0,2019,5,Manual
Audi,1984.0,Petrol,Comprehensive,93700,Mumbai,Q7 40 TFSI Quattro,First Owner,3150000.0,2018,7,Automatic
Maruti,998.0,CNG,Comprehensive,64412,Mumbai,Wagon R LXI,Second Owner,299000.0,2014,5,Manual
Tata,1199.0,Petrol,Comprehensive,45343,Mumbai,Tigor XZA,First Owner,435000.0,2018,5,Automatic
Tata,1199.0,Petrol,Zero Dep,33760,Mumbai,Tiago  Revotron XZA,First Owner,396000.0,2017,5,Automatic
Tata,1199.0,Petrol,Expired,8925,Mumbai,Tiago XZA Plus,First Owner,515000.00000000006,2019,5,Automatic
Hyundai,998.0,Petrol,Comprehensive,79000,Mumbai,Venue SX Turbo iMT,First Owner,775000.0,2020,5,Manual
Maruti,998.0,Petrol,Comprehensive,72500,Mumbai,Wagon R Stingray LXI Optional,First Owner,375000.0,2017,5,Manual
Renault,999.0,Petrol,Third Party,40198,Mumbai,KWID Climber  AMT,First Owner,330000.0,2018,5,Automatic
Hyundai,1591.0,Petrol,Zero Dep,52116,Mumbai,Verna VTVT  AT SX Option,First Owner,746000.0,2018,5,Automatic
Tata,1199.0,Petrol,Comprehensive,5500,Mumbai,Altroz XZ Plus DCT,First Owner,985000.0,2022,5,Automatic
Hyundai,998.0,Petrol,Zero Dep,10160,Mumbai,Venue SX Turbo iMT,Second Owner,771000.0,2021,5,Manual
Tata,1199.0,Petrol,Expired,33857,Mumbai,Tiago XZ Plus,First Owner,645000.0,2022,5,Manual
Honda,1199.0,Petrol,Comprehensive,33000,Mumbai,Jazz  S AT i VTEC,First Owner,455000.0,2016,5,Automatic
Tata,998.0,Electric,Comprehensive,18500,Mumbai,Nexon  XZ Plus,First Owner,990000.0,2021,5,Automatic
Hyundai,998.0,Petrol,Third Party,30000,Mumbai,Venue SX Turbo iMT,Second Owner,750000.0,2020,5,Manual
Hyundai,1197.0,Petrol,Comprehensive,75349,Mumbai,Grand i10  Kappa Sportz Option AT,First Owner,442000.0,2017,5,Automatic
BMW,1995.0,Diesel,Expired,76832,Mumbai,X1 sDrive  xLine,Second Owner,1700000.0,2016,5,Automatic
Honda,1497.0,Petrol,Comprehensive,87000,Mumbai,City i VTEC CVT VX,First Owner,590000.0,2015,5,Automatic
Tata,1199.0,Petrol,Comprehensive,18371,Mumbai,Tiago XZ Plus,First Owner,678000.0,2023,5,Manual
Maruti,1197.0,Petrol,Expired,36016,Mumbai,Baleno  CVT Delta,First Owner,503000.0,2018,5,Automatic
Toyota,2494.0,Diesel,Comprehensive,245000,Mumbai,Innova  G1,Second Owner,675000.0,2012,8,Manual
Maruti,1373.0,Petrol,Comprehensive,21883,Mumbai,Ertiga VXI,First Owner,545000.0,2013,7,Manual
Jeep,1368.0,Petrol,Expired,29700,Mumbai,Compass  L Night Eagle,First Owner,1695000.0,2022,5,Automatic
Maruti,796.0,Petrol,Comprehensive,22400,Mumbai,Alto 800 VXI,First Owner,292000.0,2017,5,Manual
Maruti,1197.0,Petrol,Third Party,66448,Mumbai,Baleno  CVT Delta,First Owner,439000.0,2017,5,Automatic
Honda,1497.0,Petrol,Comprehensive,94743,Mumbai,City i VTEC V,Second Owner,392000.0,2015,5,Manual
Skoda,1498.0,Diesel,Comprehensive,70000,Mumbai,Rapid  TDI Elegance,First Owner,525000.0,2014,5,Manual
BMW,2993.0,Diesel,Expired,50100,Mumbai,6 Series GT  M Sport,First Owner,4299000.0,2018,4,Automatic
Hyundai,1197.0,Petrol,Third Party,33754,Mumbai,Xcent  Kappa S,First Owner,326000.0,2015,5,Manual
MG,1956.0,Diesel,Third Party,34000,Mumbai,Hector Plus Sharp  MT,First Owner,2330000.0,2023,6,Manual
Tata,1199.0,Petrol,Zero Dep,4726,Mumbai,Tiago XZ Plus,First Owner,670000.0,2023,5,Manual
Hyundai,1591.0,Petrol,Comprehensive,63000,Mumbai,Creta  VTVT E Plus,First Owner,699000.0,2017,5,Manual
Mahindra,2157.0,Diesel,Comprehensive,13242,Mumbai,Alturas G4 4X4 AT,First Owner,3250000.0,2022,7,Automatic
Maruti,1462.0,Petrol,Zero Dep,17344,Mumbai,Ciaz Delta AT,First Owner,740000.0,2021,5,Automatic
Tata,1199.0,Petrol,Comprehensive,4684,Mumbai,Altroz XZ,First Owner,840000.0,2023,5,Manual
Mercedes Benz,1991.0,Petrol,Comprehensive,41000,Mumbai,Class 200 Sport,First Owner,2655000.0,2019,5,Automatic
Mercedes Benz,2143.0,Diesel,Expired,104000,Mumbai,ML 250 CDI,Third Owner,1350000.0,2013,5,Automatic
Maruti,1197.0,Petrol,Comprehensive,20061,Mumbai,Baleno  CVT Delta,First Owner,499000.0,2018,5,Automatic
Hyundai,1797.0,Petrol,Comprehensive,67000,Mumbai,Elantra SX AT,First Owner,525000.0,2013,5,Automatic
Honda,1497.0,Petrol,Comprehensive,53000,Mumbai,City i VTEC CVT SV,First Owner,565000.0,2016,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,36541,Mumbai,Grand i10  Kappa Sportz,First Owner,460000.0,2019,5,Manual
Hyundai,1353.0,Petrol,Comprehensive,18500,Mumbai,Creta SX Opt Turbo,First Owner,1771000.0,2022,5,Automatic
Maruti,1586.0,CNG,Third Party,120000,Mumbai,SX4 Green Vxi (),First Owner,399000.0,2014,5,Manual
Maruti,1197.0,Petrol,Third Party,70851,Mumbai,Swift Dzire AMT ZXI Plus,First Owner,496000.0,2018,5,Automatic
Maruti,1197.0,Petrol,Expired,3626,Mumbai,Baleno Alpha,First Owner,1000000.0,2023,5,Manual
Hyundai,1197.0,Petrol,Comprehensive,15066,Mumbai,Grand i10  Kappa Sportz,First Owner,405000.0,2017,5,Manual
Ford,1499.0,Petrol,Third Party,53999,Mumbai,Ecosport  Ti VCT AT Titanium,First Owner,580000.0,2017,5,Automatic
Hyundai,1497.0,Petrol,Comprehensive,9999,Mumbai,Creta EX,First Owner,1090000.0,2021,5,Manual
Volkswagen,1199.0,Petrol,Expired,38664,Mumbai,Polo  MPI Comfortline,First Owner,365000.0,2015,5,Manual
Tata,1197.0,Electric,Comprehensive,25000,Mumbai,Nexon  XZ Plus,First Owner,1195000.0,2022,5,Automatic
Hyundai,1197.0,Petrol,Comprehensive,13000,Mumbai,i20 Sportz IVT,First Owner,851000.0,2022,5,Automatic
Maruti,998.0,CNG,Comprehensive,69638,Mumbai,Wagon R  LXI,First Owner,455000.0,2020,5,Manual
Maruti,1462.0,Petrol,Comprehensive,64117,Mumbai,Ciaz Delta,Second Owner,520000.0,2018,5,Manual
Audi,1968.0,Diesel,Comprehensive,48600,Mumbai,A6 35 TDI,Second Owner,1950000.0,2016,5,Automatic
Honda,1497.0,Petrol,Comprehensive,70336,Mumbai,City i-VTEC S,First Owner,575000.0,2018,5,Manual
Honda,1497.0,Petrol,Expired,90000,Mumbai,City  V MT Sunroof,First Owner,375000.0,2013,5,Manual
Honda,1497.0,Petrol,Comprehensive,70000,Mumbai,City i VTEC CVT SV,Second Owner,699000.0,2017,5,Automatic
Hyundai,998.0,Petrol,Comprehensive,35258,Mumbai,Venue SX Turbo,First Owner,726000.0,2019,5,Manual
Mahindra,1197.0,Petrol,Comprehensive,14900,Mumbai,XUV300 W8 Option AMT,First Owner,1025000.0,2021,5,Automatic
Tata,999.0,Electric,Comprehensive,18000,Mumbai,Nexon  XZ Plus,First Owner,1045000.0,2021,5,Automatic
Renault,999.0,Petrol,Expired,59680,Mumbai,Kiger RXZ,First Owner,625000.0,2022,5,Manual
Maruti,998.0,CNG,Third Party,45443,Mumbai,Wagon R LXI,First Owner,379000.0,2018,5,Manual
Audi,1968.0,Diesel,Comprehensive,52000,Mumbai,A3 35 TDI Attraction,First Owner,1251000.0,2014,5,Automatic
Maruti,998.0,Petrol,Comprehensive,66113,Mumbai,Wagon R AMT VXI,First Owner,395000.0,2016,5,Automatic
Renault,1461.0,Diesel,Comprehensive,75000,Mumbai,Duster 110PS  RxZ,Second Owner,699000.0,2016,5,Manual
Skoda,1598.0,Petrol,Comprehensive,34394,Mumbai,Rapid  MPI Ambition,First Owner,624000.0,2017,5,Manual
Land Rover,1999.0,Diesel,Expired,44847,Mumbai,Discovery Sport S,First Owner,4745000.0,2021,7,Automatic
Mercedes Benz,2925.0,Diesel,Expired,44000,Mumbai,4MATIC,First Owner,11000000.0,2021,7,Automatic
Hyundai,1591.0,Petrol,Third Party,117201,Mumbai,Creta  VTVT S,First Owner,700000.0,2016,5,Manual
Mahindra,2489.0,Diesel,Comprehensive,95000,Mumbai,Xylo D4,First Owner,370000.0,2015,7,Manual
MG,1498.0,Petrol,Comprehensive,30500,Mumbai,Astor Smart CVT,First Owner,1175000.0,2022,5,Automatic
