brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
18,1197.0,4,1,66308,10,234,1,545000.0,2016,5,1
15,2996.0,4,1,28500,10,531,1,12600000.0,2022,5,0
9,1497.0,4,0,77000,10,382,1,599000.0,2017,5,0
27,1984.0,4,1,45000,10,1522,1,2495000.0,2020,5,0
10,1197.0,4,0,66000,10,871,2,425000.0,2017,5,1
9,1497.0,4,1,76000,10,382,1,575000.0,2015,5,0
21,1451.0,2,1,14477,10,436,1,700000.0,2019,4,0
21,1451.0,4,0,30000,10,838,1,1200000.0,2019,5,0
2,1995.0,1,0,39346,10,54,1,4325000.0,2021,5,0
14,1493.0,1,0,46000,10,1457,1,1735000.0000000002,2022,5,0
18,998.0,0,1,39757,10,1376,1,382000.0,2020,4,1
10,1197.0,4,1,30713,10,894,3,541000.0,2018,5,0
13,1368.0,4,1,69161,10,444,1,1050000.0,2018,5,0
18,998.0,4,2,75871,10,1826,1,227000.0,2013,5,1
10,1197.0,4,1,26000,10,872,1,610000.0,2017,5,1
18,1462.0,4,1,44811,10,1939,1,1095000.0,2021,6,0
20,2987.0,1,1,77900,10,40,3,2800000.0,2014,7,0
10,998.0,4,1,17000,10,1750,1,975000.0,2019,5,0
10,998.0,4,0,13284,10,884,1,1074000.0,2022,5,0
29,1496.0,4,1,78200,10,1997,1,660000.0,2018,5,0
14,1497.0,4,3,13000,10,1473,1,1550000.0,2022,5,0
10,1197.0,4,0,55000,10,786,1,495000.0,2018,5,1
8,1497.0,4,1,56516,10,610,1,785000.0,2019,5,0
18,998.0,4,0,60491,10,327,3,283000.0,2014,5,0
21,1451.0,4,3,26195,10,838,3,1160000.0,2019,5,0
17,2179.0,1,0,99776,10,1445,1,1295000.0,2018,7,1
27,1968.0,1,0,65000,10,1526,1,1625000.0,2017,5,0
18,1197.0,4,0,18191,10,1561,1,705000.0,2021,5,1
14,1497.0,1,0,22293,10,1471,1,1495000.0,2022,5,0
9,1199.0,4,1,25110,10,1000,1,665000.0,2018,5,0
10,1197.0,4,0,16236,10,867,3,294000.0,2015,5,1
0,2967.0,1,2,40000,10,1266,3,4450000.0,2017,7,0
21,1451.0,4,0,29000,10,830,1,1748999.9999999998,2021,6,0
18,1197.0,4,1,7500,10,1835,1,599000.0,2021,5,0
17,2696.0,1,1,99000,10,1508,1,525000.0,2013,7,0
30,1197.0,4,0,22000,10,1208,1,925000.0,2019,5,0
10,1197.0,4,0,43544,10,803,1,368000.0,2014,5,1
27,999.0,4,1,8000,10,1042,1,1850000.0,2023,5,0
18,1197.0,4,3,14151,10,1583,1,775000.0,2023,5,1
9,1497.0,4,1,26000,10,381,1,525000.0,2015,5,0
18,1197.0,4,0,58619,10,1573,1,355000.0,2012,5,1
28,1497.0,1,0,28887,10,160,1,795000.0,2023,5,1
10,1197.0,4,0,47832,10,771,1,362000.0,2015,5,1
18,1197.0,4,3,36553,10,239,1,525000.0,2019,5,1
0,1984.0,4,0,93700,10,1264,1,3150000.0,2018,7,0
18,998.0,0,0,64412,10,1825,3,299000.0,2014,5,1
28,1199.0,4,0,45343,10,1666,1,435000.0,2018,5,0
28,1199.0,4,3,33760,10,1637,1,396000.0,2017,5,0
28,1199.0,4,1,8925,10,1654,1,515000.00000000006,2019,5,0
10,998.0,4,0,79000,10,1753,1,775000.0,2020,5,1
18,998.0,4,0,72500,10,1831,1,375000.0,2017,5,1
26,999.0,4,2,40198,10,1061,1,330000.0,2018,5,0
10,1591.0,4,3,52116,10,1788,1,746000.0,2018,5,0
28,1199.0,4,0,5500,10,162,1,985000.0,2022,5,0
10,998.0,4,3,10160,10,1753,3,771000.0,2021,5,1
28,1199.0,4,1,33857,10,1648,1,645000.0,2022,5,1
9,1199.0,4,0,33000,10,993,1,455000.0,2016,5,0
28,998.0,2,0,18500,10,1162,1,990000.0,2021,5,0
10,998.0,4,2,30000,10,1753,3,750000.0,2020,5,1
10,1197.0,4,0,75349,10,789,1,442000.0,2017,5,0
2,1995.0,1,1,76832,10,1857,3,1700000.0,2016,5,0
9,1497.0,4,0,87000,10,382,1,590000.0,2015,5,0
